Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,156.400500,-88.265000,180.000000,bottom
C2,0.1uF,C_0805_2012Metric,144.843501,-108.394500,270.000000,bottom
C3,0.1uF,C_0805_2012Metric,158.432500,-103.949500,0.000000,bottom
C5,1uF,C_0805_2012Metric,157.226000,-97.409000,90.000000,bottom
C6,22pF,C_0805_2012Metric,153.606500,-108.394500,90.000000,bottom
C7,22pF,C_0805_2012Metric,147.002500,-108.394500,270.000000,bottom
D1,D_AAK_Small,D_SOT-23_ANK_norm,139.700000,-65.881250,270.000000,bottom
D2,D_AAK_Small,D_SOT-23_ANK_norm,167.640000,-71.755000,180.000000,bottom
D3,D_AAK_Small,D_SOT-23_ANK_norm,139.700000,-84.931250,270.000000,bottom
D4,D_AAK_Small,D_SOT-23_ANK_norm,139.700000,-127.000000,90.000000,bottom
D5,D_AAK_Small,D_SOT-23_ANK_norm,158.750000,-127.000000,90.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,155.321000,-70.739000,90.000000,bottom
R1,5.1k,R_0805_2012Metric,137.033000,-55.880000,0.000000,bottom
R2,5.1k,R_0805_2012Metric,155.829000,-58.674000,90.000000,bottom
R3,22,R_0805_2012Metric,157.607000,-70.739000,270.000000,bottom
R4,22,R_0805_2012Metric,159.893000,-70.739000,270.000000,bottom
R5,10k,R_0805_2012Metric,140.843000,-99.377500,0.000000,bottom
R6,10k,R_0805_2012Metric,162.877500,-107.505500,270.000000,bottom
RESET,SW_Push,SW_SPST_TL3342,168.656000,-108.521500,0.000000,bottom
U1,ATmega32U2-AU,TQFP-32_7x7mm_P0.8mm,149.288500,-99.758500,180.000000,bottom
U2,SRV05-4,SOT-23-6,158.750000,-61.976000,0.000000,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,149.225000,-51.435000,0.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.304500,-108.394500,0.000000,bottom
